1,WEAP-520-12,WEAPONS - OTHER,2024-11-15,0730,2500 CEDAR LN,VIENNA,VA,22180
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-15,0939,13500 KNOTTY LOG CT,CHANTILLY,VA,20151
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-15,1038,2000 CHAIN BRIDGE RD,VIENNA,VA,22182
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-15,1118,8100 TIS WELL DR,ALEXANDRIA,VA,22306
1,SERV-39,SERVICE - AVI THREAT SCHOOL,2024-11-15,0950,6500 QUANDER RD,ALEXANDRIA,VA,22307
2,SERV-45,SRO RELATED EVENT,2024-11-15,0950,6500 QUANDER RD,ALEXANDRIA,VA,22307
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2024-11-15,1109,6300 RICHMOND HWY,ALEXANDRIA,VA,22306
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-15,0744,5800 ACCOMAC ST,SPRINGFIELD,VA,22150
1,DRUG-35A-13,DRUGS - OTHER,2024-11-15,1050,4700 STONECROFT BLVD,CHANTILLY,VA,20151
2,SERV-45,SRO RELATED EVENT,2024-11-15,1050,4700 STONECROFT BLVD,CHANTILLY,VA,20151
1,SERV-11,SERVICE - NATURAL DEATH,2024-11-15,1045,7500 TUTLEY TER,CLIFTON,VA,20124
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-15,0936,7800 GLENISTER DR,SPRINGFIELD,VA,22152
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-15,1152,11200 ROGER BACON DR,RESTON,VA,20190
2,SERV-45,SRO RELATED EVENT,2024-11-15,1131,6000 UNION MILL RD,CLIFTON,VA,20124
3,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-15,1131,6000 UNION MILL RD,CLIFTON,VA,20124
1,TRES-90J-4,TRESPASSING - SCHOOL/CHURCH/CEMETERY,2024-11-15,1131,6000 UNION MILL RD,CLIFTON,VA,20124
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-15,1140,2300 HUNTINGTON AVE,ALEXANDRIA,VA,22303
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-15,0905,14100 ST GERMAIN DR,CENTREVILLE,VA,20121
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-15,1222,6800 EDSALL RD,SPRINGFIELD,VA,22151
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2024-11-15,1306,200 RIVER BEND RD,GREAT FALLS,VA,22066
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2024-11-15,1258,2900 CHERRY ST,FALLS CHURCH,VA,22042
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-15,1251,1700 GALLERIA AT TYSONS II,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-15,1302,8900 MAGNOLIA RIDGE RD,FAIRFAX STATION,VA,22039
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-15,1257,8100 RICHMOND HWY,ALEXANDRIA,VA,22309
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-15,1302,3200 RIO DR,FALLS CHURCH,VA,22041
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-15,1304,8500 LEESBURG PIKE,VIENNA,VA,22182
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-15,1400,6500 QUANDER RD,ALEXANDRIA,VA,22307
2,SERV-45,SRO RELATED EVENT,2024-11-15,1400,6500 QUANDER RD,ALEXANDRIA,VA,22307
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-15,1130,14200 BEDDINGFIELD WAY,CENTREVILLE,VA,20121
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-15,1343,6300 SEVEN CORNERS CTR,FALLS CHURCH,VA,22044
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-15,0912,5800 KINGSTOWNE BLVD,ALEXANDRIA,VA,22315
1,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2024-11-15,1342,8700 CENTER RD,SPRINGFIELD,VA,22152
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2024-11-15,1420,3100 CHICHESTER LN,FAIRFAX,VA,22031
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-15,1420,3100 CHICHESTER LN,FAIRFAX,VA,22031
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-15,1141,6000 UNION MILL RD,CLIFTON,VA,20124
2,SERV-45,SRO RELATED EVENT,2024-11-15,1141,6000 UNION MILL RD,CLIFTON,VA,20124
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-15,1411,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-15,1400,800 CENTRILLION DR,MCLEAN,VA,22102
1,LARC-23-11,LARCENY - CHECKS; CREDIT CARDS; BANK NOTES; ETC.,2024-11-15,1400,800 CENTRILLION DR,MCLEAN,VA,22102
1,WEAP-520-9,WEAPONS - BRANDISHING,2024-11-15,1411,6800 COMMERCE ST,SPRINGFIELD,VA,22150
1,SERV-30,SERVICE - LOST PASSPORT,2024-11-15,1358,5800 TRINITY PKWY,CENTREVILLE,VA,20120
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-15,1419,6300 SILVER RIDGE CIR,ALEXANDRIA,VA,22315
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-15,1500,6500 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-15,1458,7400 VERNON SQUARE DR,ALEXANDRIA,VA,22306
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-15,1433,12100 SUNSET HILLS RD,RESTON,VA,20190
2,BURG-90Z,BURGLARY - POSSESS BURGLARY TOOLS,2024-11-15,1433,12100 SUNSET HILLS RD,RESTON,VA,20190
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-15,1445,11500 WILD ACRE WAY,FAIRFAX STATION,VA,22039
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-15,1445,11500 WILD ACRE WAY,FAIRFAX STATION,VA,22039
